Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
79,2/14/20,5:45:41 PM,2,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Hipsman, Johnny",1000055398,Left,RIC_SPI,Stretch,3,Top,0,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,92.95273295,-2.244504728,-5.031510136,2377.978181,214.2740935,0.052083333,5.30398896,2.309314039,5.980058012,-15.15633882,17.87901791,12.20556444,1.951627332,-1.348807326,82.94535434,-5.125589351,-2.714507596,0.41367666,,,,,,,,,,,,-8.385738462,10.50795961,-1.918126022,50,5.11794341,11.44552209,-134.5150826,-5.786270048,-15.00963742,35.46341463,-13.36584646,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,ba582c94-4f7b-11ea-ace5-181deafaf045
80,2/14/20,5:46:03 PM,2,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Hipsman, Johnny",1000055398,Left,RIC_SPI,Stretch,3,Top,0,2,1,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.68775228,-0.488798209,-1.754262652,2111.654608,137.106957,0.4375,5.606576552,2.127190703,5.695801977,-39.81472576,4.39974282,-4.126119109,1.833012596,0.14827428,73.23483185,-7.90523953,-2.527774158,0.478579094,,,,,,,,,,,,1.71459295,2.495626803,-1.977532831,50,5.540902131,3.673877484,-115.9082114,-2.185171424,2.328651794,22.0016153,-28.78464594,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,c5907378-4f7b-11ea-ace5-181deafaf045
81,2/14/20,5:46:28 PM,2,5,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Hipsman, Johnny",1000055398,Left,RIC_SPI,Stretch,3,Top,0,2,2,ChangeUp,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,84.1392487,-2.067081473,-3.310109557,1724.350606,217.5972742,0.052083333,5.268924062,2.193797737,6.44257563,-28.90679842,10.099753,7.805332151,0.956930292,-0.200250343,76.44413878,-7.551436893,-1.820564749,0.449510971,,,,,,,,,,,,-5.341668146,6.219456423,-1.962722726,50,5.109247538,6.856703645,-122.233414,-5.207505491,-7.985794338,26.75927268,-22.87596067,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,d63d87ef-4f7b-11ea-ace5-181deafaf045
82,2/14/20,5:47:20 PM,3,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Stretch,3,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.75076858,-1.007142717,-4.578812127,2141.614256,229.9046062,0.072916667,5.588085539,2.377259653,5.981316538,-18.91332404,14.39172946,17.13070999,3.075487699,-0.447802337,83.17448876,-4.576273253,-1.348629125,0.415361832,,,,,,,,,,,,-10.64066589,8.097863547,-2.024938275,50,5.497972561,10.09956714,-133.095925,-2.96505333,-18.96891257,30.21684706,-17.73814133,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,f24dcd86-4f7b-11ea-ace5-181deafaf045
83,2/14/20,5:47:45 PM,3,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Stretch,3,Top,0,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.31537208,-1.400445565,-5.42306771,2343.657803,227.1887626,0.0625,5.371020545,2.303546389,6.094008624,-15.99178096,15.33947224,16.59040718,2.737135437,-1.344289927,85.81491053,-4.417799441,-2.301788185,0.402865801,,,,,,,,,,,,-10.54793977,8.732607258,-1.894171208,50,5.254387665,12.42950194,-136.6899983,-3.884014906,-19.93095338,30.48718905,-15.67327286,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,04332385-4f7c-11ea-ace5-181deafaf045
84,2/14/20,5:48:53 PM,3,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Stretch,3,Top,0,1,1,Slider,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,83.41645026,-1.076488246,-2.681214263,2073.660304,132.5579894,0.4375,5.610257362,2.07363919,5.882119596,-38.87986742,1.241845118,-1.393569706,1.369520723,-0.533855699,76.7280907,-8.331182963,-2.943084563,0.455891242,,,,,,,,,,,,-0.007565116,0.974823622,-1.856638964,50,5.500992817,5.721691845,-121.2745156,-3.463719926,-0.011246976,24.103376,-30.72478886,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,27fdd1e9-4f7c-11ea-ace5-181deafaf045
85,2/14/20,5:49:50 PM,3,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Stretch,3,Top,0,1,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,92.72769826,0.02239826,-5.515188357,2367.36317,245.8446659,0.09375,5.42976942,2.324648481,6.115350108,-25.3926303,7.182892067,16.0843343,3.33451912,-1.449275568,83.89812414,-4.780234172,-2.47867603,0.410787493,,,,,,,,,,,,-10.4300063,3.906265135,-1.909795915,50,5.418243601,12.45635397,-134.3532626,-0.762389573,-18.90962926,31.31349658,-25.09197944,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,4bc881d8-4f7c-11ea-ace5-181deafaf045
86,2/14/20,5:50:15 PM,3,5,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Toso, Dominic",1000066995,Right,RIC_SPI,Stretch,3,Top,0,2,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,94.21274579,-1.522408089,-3.0566671,2437.163347,228.9397656,0.072916667,5.424761793,2.315314841,5.961143442,-18.03222304,13.88798288,15.97686797,2.508255183,0.810086231,84.40811291,-4.945985494,-0.017542142,0.406634629,,,,,,,,,,,,-9.715109377,8.061713301,-2.081799201,50,5.294073368,6.770201639,-136.7474936,-4.240058818,-18.02065612,35.89417157,-17.22029379,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,5dadd907-4f7c-11ea-ace5-181deafaf045
87,2/14/20,5:50:59 PM,4,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Forte, Anthony",8893129,Left,RIC_SPI,Stretch,3,Top,0,0,0,ChangeUp,Undefined,InPlay,Undefined,GroundBall,Out,1,1,,84.88586286,-1.178743861,-3.781302343,1639.770176,225.4124465,0.0625,5.351830729,2.255996146,6.650810948,-27.94557366,10.15201755,10.3355792,1.941861024,-0.347999898,76.79296035,-6.520815555,-1.799812098,0.444242677,,,,,,,,,,,,-6.959713263,6.024608782,-2.005897485,50,5.261078344,7.88025849,-123.3372317,-3.277030674,-10.56684892,27.81389888,-23.02695752,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,783bf68f-4f7c-11ea-ace5-181deafaf045
88,2/14/20,5:51:44 PM,5,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Blakely, Drew",8899225,Right,RIC_SPI,Stretch,3,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.76136378,-1.795160866,-4.505259499,2480.508655,231.4056416,0.072916667,5.379415026,2.21838931,6.028730527,-19.53633532,12.51124836,15.71348877,2.083450611,-0.652441005,84.55123232,-5.493088839,-1.529665164,0.40744516,,,,,,,,,,,,-9.971664419,7.372512968,-1.8746418,50,5.228363348,10.19369634,-135.9288584,-4.915844111,-18.41124182,33.45105875,-18.56176546,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,930cd322-4f7c-11ea-ace5-181deafaf045
89,2/14/20,5:52:08 PM,5,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Blakely, Drew",8899225,Right,RIC_SPI,Stretch,3,Top,1,0,1,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,2,,93.86831637,-1.132527003,-4.263593951,2321.689376,228.7304929,0.0625,5.364002491,2.189245429,6.00495041,-20.40289663,11.68159241,13.34553318,2.611573228,-0.655600062,84.3053557,-5.002399153,-1.73198402,0.407679696,98.70263816,-7.500108474,33.5368041,,,,,17.93237838,17.93237838,34.89888501,0.122766113,-8.660489853,6.725806877,-1.861459744,50,5.263863255,9.708366172,-136.1250809,-3.371115578,-15.96946581,34.69659879,-19.77203149,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,a1934a6b-4f7c-11ea-ace5-181deafaf045
90,2/14/20,5:52:53 PM,6,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Schulefand, Jordan",8887200,Right,RIC_SPI,Stretch,3,Top,1,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.12443329,-1.238023601,-3.021832203,2432.021386,219.3728861,0.052083333,5.366189359,2.327024947,6.080970654,-19.06391728,13.34786585,10.97849403,2.630530773,0.443978533,83.72322696,-4.859264642,-0.933164086,0.409753791,,,,,,,,,,,,-6.979071515,7.685446795,-2.099578484,50,5.260571585,6.78517686,-135.2473624,-3.542501267,-12.70475791,34.22605323,-18.1833994,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,b7288e13-4f7c-11ea-ace5-181deafaf045
91,2/14/20,5:53:41 PM,6,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Schulefand, Jordan",8887200,Right,RIC_SPI,Stretch,3,Top,1,0,1,Fastball,Undefined,InPlay,Undefined,Bunt,Out,1,0,,92.66544193,-1.045562393,-3.100472691,2353.042717,226.6356322,0.0625,5.367726336,2.258354397,6.070259564,-19.24921698,13.56726412,14.39753268,2.794713111,0.586693761,83.0964182,-4.707032205,-0.358108718,0.412303976,,,,,,,,,,,,-8.892050125,7.750352115,-2.026061594,50,5.27665042,6.825832418,-134.5569278,-3.077854155,-15.98467615,34.50477057,-18.24173071,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,d88ea3d7-4f7c-11ea-ace5-181deafaf045
92,2/14/20,5:54:25 PM,7,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Mathes, Alden",1000078940,Right,RIC_SPI,Stretch,3,Top,2,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.68311786,0.13367565,-1.611431917,2127.525539,124.4639065,0.427083333,5.606761357,2.183134896,5.653068641,-43.6302492,1.84899423,-2.756238498,2.095610919,0.450372765,72.20585174,-7.999073019,-2.128308139,0.485375816,,,,,,,,,,,,1.012205621,0.951139506,-2.045081808,50,5.590621581,3.301647345,-114.4386868,-1.034635163,1.338019589,21.74968284,-30.91675136,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,ecd89354-4f7c-11ea-ace5-181deafaf045
93,2/14/20,5:54:48 PM,7,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Mathes, Alden",1000078940,Right,RIC_SPI,Stretch,3,Top,2,0,1,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.61841426,-1.825798013,-3.359950752,1605.839476,257.6355846,0.104166667,5.307398186,2.275859554,6.43573835,-35.8527821,2.826727084,13.06077253,0.638571054,0.273417213,76.82980686,-8.628905106,-0.862474567,0.44762259,,,,,,,,,,,,-8.292024149,2.149068548,-2.043214877,50,5.161487359,6.858551493,-122.9158942,-4.907070183,-12.49507533,27.78048008,-28.93566274,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,febdea8b-4f7c-11ea-ace5-181deafaf045
94,2/14/20,5:55:47 PM,7,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Mathes, Alden",1000078940,Right,RIC_SPI,Stretch,3,Top,2,0,2,ChangeUp,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,84.18679828,-1.774070416,-2.49141786,1602.677436,205.2571649,0.53125,5.517317645,1.840362039,6.527317258,-32.62762607,6.305092652,2.991908506,1.169016543,-0.197014852,76.29610422,-7.983961747,-1.917851465,0.449085347,,,,,,,,,,,,-2.472538333,4.074004499,-1.668854653,50,5.380103849,5.24558699,-122.3951335,-4.666245429,-3.687867586,27.9321126,-26.09754453,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,22889949-4f7d-11ea-ace5-181deafaf045
95,2/14/20,5:56:17 PM,7,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Mathes, Alden",1000078940,Right,RIC_SPI,Stretch,3,Top,2,0,2,ChangeUp,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,83.76347369,-0.865990883,-3.467259134,1661.447903,208.8646816,0.041666667,5.396457477,2.233769518,6.679507953,-28.81689635,10.35677151,5.729220988,2.201503864,-0.463817012,75.56134151,-6.386866342,-2.366475031,0.450472866,66.09085375,-6.608484526,29.2417785,,,,,18.45921379,18.45921379,26.00925939,0.167753906,-4.34019782,6.058419449,-2.004665727,50,5.327058513,7.229127725,-121.7417586,-2.583411278,-6.396550925,27.90993875,-23.24519551,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,346df1c3-4f7d-11ea-ace5-181deafaf045
96,2/14/20,5:58:28 PM,1,1,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Windup,3,Bottom,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,86.95853987,-2.799251423,-1.300712357,2120.458626,185.8170603,0.510416667,6.284289576,0.572294591,5.849917863,-17.2136149,20.55423576,2.097624342,2.246361962,-0.461571812,77.72295494,-6.057583768,-0.901311452,0.442316004,,,,,,,,,,,,-1.594138226,12.12321152,-0.467942027,50,6.04706783,2.799752799,-126.1925994,-6.709521194,-2.506180142,31.67653873,-13.11487823,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,838946e6-4f7d-11ea-ace5-181deafaf045
97,2/14/20,5:58:51 PM,1,2,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Windup,3,Bottom,0,0,1,Curveball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,76.56345969,-0.082730828,0.543864981,2323.291877,79.95406356,0.364583333,6.434719741,0.12773221,5.143285983,-52.50158952,-2.599938704,-14.411322,1.981700158,-0.561196431,69.17563608,-9.8490858,-2.164781103,0.508427432,,,,,,,,,,,,7.804721528,-1.344968218,-0.167890031,50,6.388082857,-0.609323349,-111.1188978,-1.783355425,9.523143562,24.38293436,-33.81514816,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,8de8a5e6-4f7d-11ea-ace5-181deafaf045
98,2/14/20,5:59:22 PM,1,3,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Windup,3,Bottom,0,0,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,75.84500901,-1.877896149,0.786590996,2250.981294,29.62081333,0.291666667,6.202738614,0.136617992,5.26361081,-73.49671998,-22.78578351,-12.92796849,-1.6867112,-0.201814207,69.91259183,-15.34847721,-1.649845448,0.512533591,,,,,,,,,,,,7.137815507,-11.43376498,-0.199304744,50,5.978839768,-1.122415138,-110.0305283,-5.815144738,8.532533032,24.05463328,-45.84195259,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,9fcdfc36-4f7d-11ea-ace5-181deafaf045
99,2/14/20,5:59:45 PM,1,4,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Windup,3,Bottom,0,1,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.00618753,-1.222656435,0.407387404,2243.822981,35.41721752,0.302083333,6.246052023,0.233557238,5.351637333,-66.23448284,-16.01497499,-11.35491779,-0.420265165,-0.330642665,69.60747749,-13.45893957,-1.734242115,0.510044119,,,,,,,,,,,,6.184467703,-8.098925836,-0.262318686,50,6.090487163,-0.446876834,-110.3367885,-4.324536016,7.444893415,23.93083438,-41.92357633,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,b16bd0b0-4f7d-11ea-ace5-181deafaf045
100,2/14/20,6:00:11 PM,1,5,"Miller, Tim",8900434,Right,RIC_SPI,"Shepherd, Cam",10000425,Right,GEO_BUL,Windup,3,Bottom,0,2,2,Curveball,Undefined,InPlay,Undefined,GroundBall,Double,0,0,,75.46866752,0.505123151,1.068533297,2389.353423,77.31096637,0.354166667,6.445804488,0.241186122,5.18176002,-54.81373911,-3.562045754,-15.60614317,2.353276235,-0.053999727,68.20633314,-9.703568594,-1.865451463,0.515259049,98.62697637,2.437867698,-40.25427376,3764.432036,,,,69.46373939,69.46373939,-41.13650856,0.504290771,8.624735033,-2.058895367,-0.328931233,50,6.452561291,-1.569749203,-109.5286672,-0.695993378,10.23541171,23.50536363,-34.6174444,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,c18c442a-4f7d-11ea-ace5-181deafaf045
101,2/14/20,6:01:03 PM,2,1,"Miller, Tim",8900434,Right,RIC_SPI,"Bradley, Tucker",10000430,Left,GEO_BUL,Stretch,3,Bottom,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.30860722,-1.450989375,-0.710225961,2202.292142,199.4512783,0.53125,6.37824626,0.924386498,5.886298814,-14.68180775,22.48375936,7.952747404,3.807212441,0.927678664,78.27055821,-4.234583846,0.801666976,0.438775026,,,,,,,,,,,,-4.548960402,12.67316242,-0.871717877,50,6.253080645,1.323760324,-126.8857641,-3.67425532,-7.266894071,30.83470002,-11.92886708,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,de70ace8-4f7d-11ea-ace5-181deafaf045
102,2/14/20,6:01:22 PM,2,2,"Miller, Tim",8900434,Right,RIC_SPI,"Bradley, Tucker",10000430,Left,GEO_BUL,Stretch,3,Bottom,0,1,0,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.91959378,-0.764522686,-1.468426432,2005.55524,231.5174713,0.072916667,6.152665091,1.108887517,5.418673519,-28.76070582,14.24563545,17.97129838,3.039607809,1.230862275,73.61910901,-6.160877956,1.919368327,0.471995401,,,,,,,,,,,,-10.07480559,7.851394576,-0.990807051,50,6.065418476,2.47765739,-118.9452539,-2.502274457,-14.14034768,27.13529973,-21.15433725,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,e7635884-4f7d-11ea-ace5-181deafaf045
103,2/14/20,6:01:41 PM,2,3,"Miller, Tim",8900434,Right,RIC_SPI,"Bradley, Tucker",10000430,Left,GEO_BUL,Stretch,3,Bottom,0,1,1,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,82.47109394,-1.14368254,0.017920483,1910.444181,243.6738804,0.083333333,6.027450853,0.971185406,5.985100724,-33.0472552,8.556641096,17.37225229,2.213502333,2.435480309,74.25306862,-7.394901652,3.328561893,0.464235685,,,,,,,,,,,,-9.44912222,5.054190889,-0.982037042,50,5.919384771,-0.541124531,-119.874295,-3.351190221,-13.42585838,28.25504279,-24.99276235,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,f7031487-4f7d-11ea-ace5-181deafaf045
104,2/14/20,6:02:16 PM,2,4,"Miller, Tim",8900434,Right,RIC_SPI,"Bradley, Tucker",10000430,Left,GEO_BUL,Stretch,3,Bottom,0,2,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.83027217,-3.059964778,-1.579529999,2217.236862,173.7271651,0.489583333,6.283520478,0.700153179,5.983203602,-9.97212081,26.26473714,-2.890795317,2.612910321,-1.004946557,78.80263953,-4.958338548,-2.132675931,0.433258194,,,,,,,,,,,,0.990625242,15.4578639,-0.574076103,50,6.036654111,3.642371991,-128.8427604,-7.199063748,1.613001246,34.58509412,-7.004536761,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,0b2e083c-4f7e-11ea-ace5-181deafaf045
105,2/14/20,6:02:52 PM,2,5,"Miller, Tim",8900434,Right,RIC_SPI,"Bradley, Tucker",10000430,Left,GEO_BUL,Stretch,3,Bottom,0,2,2,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,87.87567976,-0.37171794,-0.585409566,2247.916778,196.8698578,0.520833333,6.23129734,0.791353938,5.875865049,-26.48701659,9.584399584,2.916741265,3.678837172,0.490771856,80.32468702,-5.344606975,-0.036106666,0.432268028,86.63451762,50.98073212,-17.35881682,3411.962874,103.1735826,119.495472,-38.14719098,265.2429748,140.2585301,-21.15561203,5.782057495,-1.738323376,5.273512451,-0.745805398,50,6.1859897,1.213276777,-127.9105428,-1.680540655,-2.875262182,26.78325916,-23.45143047,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,1d135f67-4f7e-11ea-ace5-181deafaf045
106,2/14/20,6:03:43 PM,3,1,"Miller, Tim",8900434,Right,RIC_SPI,"King, Riley",10000432,Right,GEO_BUL,Stretch,3,Bottom,1,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.57742788,-2.059422225,-3.074157648,2276.101906,203.6000057,0.53125,6.440587872,0.807430585,5.873864415,-10.59639367,26.45468076,11.57298859,3.641474426,-1.08573796,78.42908865,-4.069187379,-0.878252794,0.438098657,,,,,,,,,,,,-7.295915353,15.01627074,-0.565647869,50,6.268000082,6.460007174,-127.0663794,-4.909240317,-11.69885893,30.70847357,-8.095749334,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,3f6ef860-4f7e-11ea-ace5-181deafaf045
107,2/14/20,6:04:03 PM,3,2,"Miller, Tim",8900434,Right,RIC_SPI,"King, Riley",10000432,Right,GEO_BUL,Stretch,3,Bottom,1,1,0,Curveball,Undefined,InPlay,Undefined,Popup,Out,1,0,,76.61198977,0.231927627,0.891376337,2373.278978,98.10676846,0.385416667,6.378128189,0.361502513,5.25754876,-46.35122255,2.512665483,-17.96250838,2.73343014,-0.2979334,70.09224202,-8.358201334,-2.462170512,0.503112987,61.59840356,56.43272185,22.36256613,4389.403601,93.22154421,70.29840317,58.3926476,158.0737787,66.24850358,33.48350671,4.31414856,9.754690249,1.257983617,-0.430063463,50,6.365839647,-1.178247944,-111.3500279,-0.979327957,12.15920898,21.33432295,-30.60597358,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,49d0b821-4f7e-11ea-ace5-181deafaf045
108,2/14/20,6:04:58 PM,4,1,"Miller, Tim",8900434,Right,RIC_SPI,"Blaylock, Garrett",8899450,Left,GEO_BUL,Stretch,3,Bottom,2,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.1797326,-2.088451368,-2.252289563,2264.933811,190.0188233,0.510416667,6.29372889,1.009072211,6.052490285,-13.75106507,22.38408789,3.960503759,3.212508752,-0.74654557,79.38033952,-4.695429987,-1.499492671,0.43264976,,,,,,,,,,,,-2.887967715,12.86833387,-0.83630825,50,6.124149203,4.916042694,-128.0937897,-5.097995986,-4.721805337,30.39523695,-11.13442016,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,6bdda94b-4f7e-11ea-ace5-181deafaf045
109,2/14/20,6:05:33 PM,4,2,"Miller, Tim",8900434,Right,RIC_SPI,"Blaylock, Garrett",8899450,Left,GEO_BUL,Stretch,3,Bottom,2,0,1,ChangeUp,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,82.08289548,-1.432745884,-1.097459649,1946.528762,223.6195272,0.0625,5.916918789,0.92465023,5.959267137,-32.63729936,9.256633353,8.858526362,1.868227532,0.645207258,74.11303824,-7.597675186,0.58782097,0.465851055,75.74417298,3.893868569,25.11842162,2535.879644,,,,56.89997626,56.89997626,24.82852743,0.525706787,-5.177881682,5.506115714,-0.842572229,50,5.785370765,2.027722378,-119.3046653,-3.934150797,-7.320941067,27.02442363,-24.38902156,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,7f80bebd-4f7e-11ea-ace5-181deafaf045
110,2/14/20,6:08:10 PM,1,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Cook, Justin",8900439,Right,RIC_SPI,Windup,4,Top,0,0,0,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,80.78864654,-1.00439959,-1.8171358,2130.845079,83.45027873,0.364583333,5.60860071,1.7908529,5.812177387,-45.30014958,-1.953946421,-16.66328682,0.899197426,-1.28777542,73.83826808,-9.460231492,-4.960672369,0.473856726,,,,,,,,,,,,8.41068475,-0.731956776,-1.632399179,50,5.499835074,4.216408342,-117.4065908,-3.395862261,11.5657591,25.30105331,-33.18058203,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,d8fb7312-4f7e-11ea-ace5-181deafaf045
111,2/14/20,6:08:24 PM,1,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Cook, Justin",8900439,Right,RIC_SPI,Windup,4,Top,0,1,0,Slider,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.67429158,-0.589734677,-2.387474582,2207.538406,89.01184682,0.375,5.662817303,2.038999208,5.658683887,-43.5775019,-0.201416606,-9.313031689,1.480984906,-0.964490288,74.12703274,-8.69000167,-4.131938956,0.474020032,,,,,,,,,,,,4.287705208,0.065073058,-1.831364169,50,5.585641496,5.17284805,-117.2575176,-2.536800719,5.938523094,23.25026544,-32.08392159,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,e1a1d7fc-4f7e-11ea-ace5-181deafaf045
112,2/14/20,6:08:41 PM,1,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Cook, Justin",8900439,Right,RIC_SPI,Windup,4,Top,0,1,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.06151007,-3.374650186,-3.968987689,2161.68387,149.4335889,0.458333333,5.692483817,1.930992708,6.002622252,-29.7080062,8.31009178,-4.929112866,0.079358998,-2.162572904,78.62839088,-8.912759397,-4.897771551,0.443778963,,,,,,,,,,,,1.45331098,5.552504157,-1.61635059,50,5.410515864,8.802961872,-124.7161653,-8.274606629,2.265678378,27.46703792,-23.51782233,GEO_BUL,RIC_SPI,UGeorgia,D1,SEC,20200214-UGeorgia-1,f10f84c0-4f7e-11ea-ace5-181deafaf045
